numRooms,house_configuration,cleaned_house_type,location,city,latitude,longitude,currency,numBathrooms,numBalconies,isNegotiable,Status,converted_house_size,cleaned_security_deposit,price
2,BHK,Apartment,Ulwe,Mumbai,18.97104645,73.01772308,INR,2.0,0.0,Not Negotiable,Furnished,1180.0,0.0,19000.0
2,BHK,Apartment,Ulwe,Mumbai,18.96637726,73.01280212,INR,2.0,0.0,Not Negotiable,Unfurnished,1120.0,0.0,12500.0
2,BHK,Apartment,Panvel,Mumbai,18.96597862,73.12464905,INR,2.0,0.0,Not Negotiable,Unfurnished,1200.0,0.0,22000.0
2,BHK,Apartment,Kandivali West,Mumbai,19.21359825,72.83363342,INR,2.0,0.0,Not Negotiable,Unfurnished,750.0,0.0,28500.0
3,BHK,Apartment,Chembur,Mumbai,19.06293297,72.89239502,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1400.0,0.0,50000.0
1,RK,Studio Apartment,Badlapur East,Mumbai,19.144207,73.24699402,INR,1.0,0.0,Not Negotiable,Unfurnished,450.0,0.0,3000.0
1,BHK,Apartment,Dombivali,Mumbai,19.2275486,73.08150482,INR,2.0,0.0,Not Negotiable,Unfurnished,700.0,0.0,9500.0
1,BHK,Apartment,Bandra West,Mumbai,19.06117058,72.83162689,INR,2.0,0.0,Not Negotiable,Furnished,600.0,0.0,55000.0
1,BHK,Apartment,Andheri East,Mumbai,19.10876465,72.86569214,INR,2.0,0.0,Not Negotiable,Furnished,600.0,0.0,50000.0
2,BHK,Apartment,Bhayandar East,Mumbai,19.30729294,72.86174774,INR,1.0,0.0,Not Negotiable,Semi-Furnished,1045.0,0.0,25000.0
4,BHK,Apartment,Goregaon West,Mumbai,19.17330933,72.84157562,INR,4.0,0.0,Not Negotiable,Furnished,1900.0,0.0,175000.0
1,BHK,Apartment,Colaba,Mumbai,18.91975021,72.8295517,INR,2.0,0.0,Not Negotiable,Furnished,750.0,0.0,100000.0
2,BHK,Apartment,Kalamboli,Mumbai,19.03683662,73.090065,INR,2.0,0.0,Not Negotiable,Unfurnished,1150.0,0.0,20000.0
3,BHK,Apartment,Ulwe,Mumbai,18.98021317,73.02484894,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1400.0,0.0,35000.0
2,BHK,Apartment,Panvel,Mumbai,18.95307922,73.14958191,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1246.0,0.0,12000.0
1,BHK,Apartment,Palghar,Mumbai,19.65348625,72.71968842,INR,2.0,0.0,Not Negotiable,Semi-Furnished,650.0,0.0,4500.0
2,BHK,Apartment,Nerul,Mumbai,19.02084732,73.02590179,INR,2.0,0.0,Not Negotiable,Unfurnished,1000.0,0.0,28000.0
3,BHK,Apartment,Kandivali East,Mumbai,19.21083069,72.8747406,INR,2.0,0.0,Not Negotiable,Furnished,1300.0,0.0,77000.0
3,BHK,Apartment,Sion,Mumbai,19.04330826,72.86363983,INR,3.0,0.0,Not Negotiable,Furnished,1050.0,0.0,175000.0
2,BHK,Apartment,Andheri West,Mumbai,19.12363625,72.83045959,INR,2.0,0.0,Not Negotiable,Unfurnished,750.0,0.0,55000.0
4,BHK,Apartment,Juhu,Mumbai,19.1133461,72.83358002,INR,4.0,0.0,Not Negotiable,Semi-Furnished,1900.0,0.0,360000.0
2,BHK,Apartment,Vasai,Mumbai,19.3658886,72.8132019,INR,2.0,0.0,Not Negotiable,Semi-Furnished,1360.0,0.0,21500.0
1,BHK,Apartment,Thakurli,Mumbai,19.22567177,73.10028076,INR,1.0,0.0,Not Negotiable,Semi-Furnished,710.0,0.0,13000.0
2,BHK,Apartment,Powai,Mumbai,19.11515236,72.90356445,INR,2.0,0.0,Not Negotiable,Furnished,950.0,0.0,60000.0
3,BHK,Apartment,Andheri West,Mumbai,19.14553833,72.822258,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1050.0,0.0,90000.0
3,BHK,Apartment,Jogeshwari East,Mumbai,19.13976288,72.86218262,INR,3.0,0.0,Not Negotiable,Semi-Furnished,2000.0,0.0,145000.0
1,BHK,Independent Floor,Mira Road East,Mumbai,21.23942184,81.66488647,INR,1.0,0.0,Not Negotiable,Unfurnished,500.0,0.0,7500.0
